Samples;1024;
Tiempo (s);21930.3672;
Tiempo;PALPADOR 1;PALPADOR 3;PALPADOR 4;PALPADOR 5;FUERZA 300;POS  300;MEDIA AXIAL;MEDIA DIAM;GAUGE AXIAL1;GAGEDIAM 1;Dia;Hora;
s;mm;mm;mm;mm;kN;mm;mm;mm;?E;?E;
.00000;+0.0001;+0.0000;-0.0002;-0.0000;-0,000.1;-000.00;-0.0001;-0.0001;-1,383.6;-1,161.5;19/05/2022;9:12:25;
21.32900;+0.0130;+0.0183;-0.0001;-0.0000;+0,001.9;+000.02;+0.0154;-0.0000;-1,418.9;-1,153.3;19/05/2022;9:12:47;
42.79650;+0.0222;+0.0307;+0.0000;+0.0002;+0,003.8;+000.03;+0.0262;+0.0004;-1,448.0;-1,147.2;19/05/2022;9:13:08;
64.12550;+0.0295;+0.0386;+0.0003;+0.0002;+0,005.5;+000.04;+0.0338;+0.0006;-1,470.5;-1,142.6;19/05/2022;9:13:29;
85.59299;+0.0358;+0.0447;+0.0004;+0.0003;+0,007.1;+000.05;+0.0400;+0.0008;-1,490.1;-1,138.1;19/05/2022;9:13:51;
107.06049;+0.0420;+0.0501;+0.0005;+0.0003;+0,009.0;+000.06;+0.0458;+0.0010;-1,509.6;-1,133.7;19/05/2022;9:14:12;
128.38949;+0.0480;+0.0551;+0.0005;+0.0004;+0,010.8;+000.06;+0.0513;+0.0010;-1,529.8;-1,129.5;19/05/2022;9:14:34;
149.85699;+0.0529;+0.0590;+0.0007;+0.0005;+0,012.5;+000.07;+0.0558;+0.0012;-1,546.2;-1,125.8;19/05/2022;9:14:55;
171.32449;+0.0578;+0.0630;+0.0007;+0.0004;+0,014.3;+000.08;+0.0602;+0.0013;-1,564.6;-1,122.0;19/05/2022;9:15:17;
192.65349;+0.0626;+0.0668;+0.0010;+0.0005;+0,016.2;+000.08;+0.0645;+0.0016;-1,582.4;-1,118.1;19/05/2022;9:15:38;
214.12098;+0.0673;+0.0704;+0.0010;+0.0006;+0,017.8;+000.09;+0.0687;+0.0017;-1,601.5;-1,114.2;19/05/2022;9:15:59;
235.44998;+0.0724;+0.0742;+0.0012;+0.0008;+0,019.8;+000.09;+0.0731;+0.0020;-1,620.9;-1,109.6;19/05/2022;9:16:21;
256.91748;+0.0768;+0.0774;+0.0014;+0.0006;+0,021.6;+000.10;+0.0769;+0.0020;-1,639.4;-1,106.0;19/05/2022;9:16:42;
278.38498;+0.0816;+0.0809;+0.0014;+0.0008;+0,023.2;+000.11;+0.0810;+0.0023;-1,659.0;-1,102.0;19/05/2022;9:17:04;
299.71398;+0.0859;+0.0841;+0.0017;+0.0010;+0,025.0;+000.11;+0.0848;+0.0026;-1,678.1;-1,098.1;19/05/2022;9:17:25;
321.18148;+0.0894;+0.0869;+0.0018;+0.0009;+0,026.8;+000.12;+0.0880;+0.0027;-1,696.8;-1,094.6;19/05/2022;9:17:46;
342.64898;+0.0932;+0.0900;+0.0019;+0.0011;+0,028.7;+000.12;+0.0914;+0.0030;-1,714.6;-1,090.7;19/05/2022;9:18:08;
363.97797;+0.0967;+0.0930;+0.0019;+0.0011;+0,030.4;+000.13;+0.0946;+0.0030;-1,731.6;-1,087.3;19/05/2022;9:18:29;
385.44547;+0.1003;+0.0961;+0.0021;+0.0012;+0,032.2;+000.13;+0.0980;+0.0032;-1,749.2;-1,083.4;19/05/2022;9:18:51;
406.77447;+0.1038;+0.0995;+0.0023;+0.0013;+0,034.0;+000.14;+0.1015;+0.0035;-1,766.9;-1,079.9;19/05/2022;9:19:12;
428.24197;+0.1070;+0.1027;+0.0026;+0.0014;+0,035.8;+000.14;+0.1047;+0.0039;-1,784.5;-1,076.2;19/05/2022;9:19:33;
449.70947;+0.1102;+0.1058;+0.0024;+0.0014;+0,037.7;+000.15;+0.1078;+0.0037;-1,800.3;-1,072.8;19/05/2022;9:19:55;
471.03847;+0.1131;+0.1087;+0.0027;+0.0015;+0,039.4;+000.15;+0.1107;+0.0041;-1,816.1;-1,069.5;19/05/2022;9:20:16;
492.50596;+0.1159;+0.1116;+0.0028;+0.0016;+0,041.2;+000.16;+0.1136;+0.0043;-1,832.2;-1,066.7;19/05/2022;9:20:38;
513.97346;+0.1185;+0.1141;+0.0030;+0.0016;+0,043.1;+000.16;+0.1161;+0.0045;-1,847.0;-1,063.7;19/05/2022;9:20:59;
