Samples;1024;
Tiempo (s);32244.0449;
Tiempo;PALPADOR 1;PALPADOR 3;PALPADOR 4;PALPADOR 5;FUERZA 300;POS  300;MEDIA AXIAL;MEDIA DIAM;GAUGE AXIAL1;GAGEDIAM 1;Dia;Hora;
s;mm;mm;mm;mm;kN;mm;mm;mm;?E;?E;
.00000;+0.0001;+0.0000;+0.0002;+0.0001;-0,000.2;-000.00;+0.0003;+0.0002;-0,000.2;-0,000.8;01/06/2022;10:02:43;
31.43950;+0.0265;+0.0242;+0.0001;+0.0001;+0,002.4;+000.03;+0.0256;+0.0002;-0,008.4;+0,000.5;01/06/2022;10:03:15;
62.87900;+0.0414;+0.0387;+0.0003;+0.0003;+0,005.0;+000.05;+0.0403;+0.0005;-0,016.1;+0,001.6;01/06/2022;10:03:46;
94.45699;+0.0537;+0.0506;+0.0004;+0.0004;+0,007.6;+000.07;+0.0524;+0.0007;-0,024.1;+0,002.8;01/06/2022;10:04:18;
125.89649;+0.0638;+0.0606;+0.0004;+0.0006;+0,010.4;+000.09;+0.0624;+0.0010;-0,031.5;+0,004.5;01/06/2022;10:04:49;
157.33599;+0.0726;+0.0693;+0.0007;+0.0007;+0,012.9;+000.10;+0.0712;+0.0014;-0,038.2;+0,005.6;01/06/2022;10:05:20;
188.91399;+0.0794;+0.0758;+0.0007;+0.0008;+0,015.6;+000.11;+0.0779;+0.0014;-0,043.5;+0,006.4;01/06/2022;10:05:52;
220.35348;+0.0852;+0.0815;+0.0009;+0.0009;+0,018.1;+000.12;+0.0836;+0.0017;-0,048.2;+0,007.1;01/06/2022;10:06:23;
251.79298;+0.0905;+0.0867;+0.0009;+0.0010;+0,020.8;+000.13;+0.0888;+0.0018;-0,052.5;+0,007.9;01/06/2022;10:06:55;
283.37098;+0.0956;+0.0917;+0.0010;+0.0011;+0,023.4;+000.14;+0.0939;+0.0020;-0,057.2;+0,008.6;01/06/2022;10:07:26;
314.81048;+0.1013;+0.0974;+0.0011;+0.0012;+0,026.2;+000.14;+0.0996;+0.0023;-0,062.1;+0,009.5;01/06/2022;10:07:58;
346.24998;+0.1067;+0.1028;+0.0013;+0.0015;+0,028.6;+000.15;+0.1050;+0.0027;-0,067.2;+0,010.4;01/06/2022;10:08:29;
377.82797;+0.1114;+0.1075;+0.0014;+0.0013;+0,031.4;+000.16;+0.1097;+0.0026;-0,072.1;+0,011.3;01/06/2022;10:09:01;
409.26747;+0.1160;+0.1120;+0.0016;+0.0014;+0,033.9;+000.17;+0.1142;+0.0029;-0,076.8;+0,012.2;01/06/2022;10:09:32;
440.70697;+0.1198;+0.1162;+0.0017;+0.0015;+0,036.7;+000.17;+0.1182;+0.0030;-0,081.3;+0,012.9;01/06/2022;10:10:04;
472.28497;+0.1241;+0.1205;+0.0017;+0.0018;+0,039.2;+000.18;+0.1226;+0.0034;-0,085.9;+0,013.7;01/06/2022;10:10:35;
503.72446;+0.1282;+0.1247;+0.0019;+0.0019;+0,041.8;+000.18;+0.1267;+0.0037;-0,090.5;+0,014.6;01/06/2022;10:11:07;
535.16396;+0.1321;+0.1288;+0.0021;+0.0019;+0,044.5;+000.19;+0.1307;+0.0038;-0,095.4;+0,015.5;01/06/2022;10:11:38;
566.74196;+0.1359;+0.1326;+0.0023;+0.0019;+0,047.0;+000.20;+0.1345;+0.0040;-0,099.9;+0,016.4;01/06/2022;10:12:10;
598.18146;+0.1396;+0.1366;+0.0024;+0.0021;+0,049.8;+000.20;+0.1384;+0.0043;-0,104.4;+0,017.3;01/06/2022;10:12:41;
629.75946;+0.1431;+0.1401;+0.0024;+0.0022;+0,052.3;+000.21;+0.1419;+0.0044;-0,108.7;+0,018.1;01/06/2022;10:13:13;
661.19895;+0.1469;+0.1439;+0.0027;+0.0024;+0,055.0;+000.21;+0.1457;+0.0049;-0,113.2;+0,019.0;01/06/2022;10:13:44;
692.63845;+0.1506;+0.1476;+0.0028;+0.0024;+0,057.6;+000.22;+0.1494;+0.0049;-0,117.8;+0,019.8;01/06/2022;10:14:16;
724.21645;+0.1542;+0.1514;+0.0029;+0.0025;+0,060.2;+000.22;+0.1531;+0.0051;-0,122.5;+0,020.8;01/06/2022;10:14:47;
755.65595;+0.1577;+0.1551;+0.0031;+0.0026;+0,062.8;+000.23;+0.1567;+0.0055;-0,126.9;+0,021.6;01/06/2022;10:15:19;
787.09544;+0.1608;+0.1584;+0.0032;+0.0027;+0,065.5;+000.23;+0.1599;+0.0056;-0,131.2;+0,022.5;01/06/2022;10:15:50;
818.67344;+0.1643;+0.1618;+0.0035;+0.0028;+0,068.1;+000.24;+0.1633;+0.0059;-0,135.3;+0,023.4;01/06/2022;10:16:22;
850.11294;+0.1677;+0.1652;+0.0036;+0.0029;+0,070.7;+000.24;+0.1667;+0.0062;-0,139.8;+0,024.2;01/06/2022;10:16:53;
881.55244;+0.1711;+0.1687;+0.0036;+0.0030;+0,073.3;+000.25;+0.1702;+0.0063;-0,144.3;+0,025.2;01/06/2022;10:17:25;
913.13043;+0.1746;+0.1722;+0.0038;+0.0032;+0,075.9;+000.25;+0.1737;+0.0067;-0,148.8;+0,026.1;01/06/2022;10:17:56;
944.56993;+0.1779;+0.1755;+0.0039;+0.0032;+0,078.4;+000.26;+0.1770;+0.0067;-0,153.1;+0,027.0;01/06/2022;10:18:28;
976.00943;+0.1812;+0.1789;+0.0039;+0.0033;+0,081.2;+000.26;+0.1803;+0.0068;-0,157.6;+0,027.9;01/06/2022;10:18:59;
1007.58743;+0.1842;+0.1820;+0.0041;+0.0034;+0,083.7;+000.27;+0.1833;+0.0071;-0,161.6;+0,028.8;01/06/2022;10:19:31;
1039.02693;+0.1876;+0.1854;+0.0044;+0.0035;+0,086.3;+000.27;+0.1868;+0.0075;-0,166.2;+0,029.7;01/06/2022;10:20:02;
1070.46642;+0.1907;+0.1886;+0.0043;+0.0034;+0,089.1;+000.28;+0.1899;+0.0073;-0,170.5;+0,030.7;01/06/2022;10:20:34;
1102.04442;+0.1943;+0.1922;+0.0046;+0.0037;+0,091.6;+000.28;+0.1935;+0.0079;-0,175.1;+0,031.6;01/06/2022;10:21:05;
1133.48392;+0.1977;+0.1953;+0.0047;+0.0038;+0,094.2;+000.29;+0.1968;+0.0080;-0,179.3;+0,032.6;01/06/2022;10:21:37;
1165.06192;+0.2007;+0.1985;+0.0047;+0.0039;+0,097.0;+000.29;+0.1999;+0.0082;-0,183.8;+0,033.5;01/06/2022;10:22:08;
1196.50141;+0.2037;+0.2014;+0.0049;+0.0039;+0,099.4;+000.30;+0.2028;+0.0084;-0,187.8;+0,034.4;01/06/2022;10:22:40;
1227.94091;+0.2071;+0.2047;+0.0052;+0.0041;+0,102.1;+000.30;+0.2062;+0.0088;-0,192.2;+0,035.3;01/06/2022;10:23:11;
1259.51891;+0.2102;+0.2078;+0.0052;+0.0042;+0,104.8;+000.31;+0.2093;+0.0090;-0,196.6;+0,036.3;01/06/2022;10:23:43;
1290.95841;+0.2137;+0.2111;+0.0054;+0.0043;+0,107.5;+000.31;+0.2127;+0.0093;-0,201.1;+0,037.3;01/06/2022;10:24:14;
