Tiempo,PALPADOR 1,PALPADOR 3,PALPADOR 4,PALPADOR 5,FUERZA 300,POS  300,MEDIA AXIAL,MEDIA DIAM,GAUGE AXIAL1,GAGEDIAM 1,Dia
0.0,0.0001,0.0,0.0002,0.0001,-0.2,-0.0,0.0003,0.0002,-0.2,-0.8,01/06/2022
31.4395,0.0265,0.0242,0.0001,0.0001,2.4,0.03,0.0256,0.0002,-8.4,0.5,01/06/2022
62.879,0.0414,0.0387,0.0003,0.0003,5.0,0.05,0.0403,0.0005,-16.1,1.6,01/06/2022
94.45699,0.0537,0.0506,0.0004,0.0004,7.6,0.07,0.0524,0.0007,-24.1,2.8,01/06/2022
125.89649,0.0638,0.0606,0.0004,0.0006,10.4,0.09,0.0624,0.001,-31.5,4.5,01/06/2022
157.33599,0.0726,0.0693,0.0007,0.0007,12.9,0.1,0.0712,0.0014,-38.2,5.6,01/06/2022
188.91399,0.0794,0.0758,0.0007,0.0008,15.6,0.11,0.0779,0.0014,-43.5,6.4,01/06/2022
220.35348,0.0852,0.0815,0.0009,0.0009,18.1,0.12,0.0836,0.0017,-48.2,7.1,01/06/2022
251.79298,0.0905,0.0867,0.0009,0.001,20.8,0.13,0.0888,0.0018,-52.5,7.9,01/06/2022
283.37098,0.0956,0.0917,0.001,0.0011,23.4,0.14,0.0939,0.002,-57.2,8.6,01/06/2022
314.81048,0.1013,0.0974,0.0011,0.0012,26.2,0.14,0.0996,0.0023,-62.1,9.5,01/06/2022
346.24998,0.1067,0.1028,0.0013,0.0015,28.6,0.15,0.105,0.0027,-67.2,10.4,01/06/2022
377.82797,0.1114,0.1075,0.0014,0.0013,31.4,0.16,0.1097,0.0026,-72.1,11.3,01/06/2022
409.26747,0.116,0.112,0.0016,0.0014,33.9,0.17,0.1142,0.0029,-76.8,12.2,01/06/2022
440.70697,0.1198,0.1162,0.0017,0.0015,36.7,0.17,0.1182,0.003,-81.3,12.9,01/06/2022
472.28497,0.1241,0.1205,0.0017,0.0018,39.2,0.18,0.1226,0.0034,-85.9,13.7,01/06/2022
503.72446,0.1282,0.1247,0.0019,0.0019,41.8,0.18,0.1267,0.0037,-90.5,14.6,01/06/2022
535.16396,0.1321,0.1288,0.0021,0.0019,44.5,0.19,0.1307,0.0038,-95.4,15.5,01/06/2022
566.74196,0.1359,0.1326,0.0023,0.0019,47.0,0.2,0.1345,0.004,-99.9,16.4,01/06/2022
598.18146,0.1396,0.1366,0.0024,0.0021,49.8,0.2,0.1384,0.0043,-104.4,17.3,01/06/2022
629.75946,0.1431,0.1401,0.0024,0.0022,52.3,0.21,0.1419,0.0044,-108.7,18.1,01/06/2022
661.19895,0.1469,0.1439,0.0027,0.0024,55.0,0.21,0.1457,0.0049,-113.2,19.0,01/06/2022
692.63845,0.1506,0.1476,0.0028,0.0024,57.6,0.22,0.1494,0.0049,-117.8,19.8,01/06/2022
724.21645,0.1542,0.1514,0.0029,0.0025,60.2,0.22,0.1531,0.0051,-122.5,20.8,01/06/2022
755.65595,0.1577,0.1551,0.0031,0.0026,62.8,0.23,0.1567,0.0055,-126.9,21.6,01/06/2022
787.09544,0.1608,0.1584,0.0032,0.0027,65.5,0.23,0.1599,0.0056,-131.2,22.5,01/06/2022
818.67344,0.1643,0.1618,0.0035,0.0028,68.1,0.24,0.1633,0.0059,-135.3,23.4,01/06/2022
850.11294,0.1677,0.1652,0.0036,0.0029,70.7,0.24,0.1667,0.0062,-139.8,24.2,01/06/2022
881.55244,0.1711,0.1687,0.0036,0.003,73.3,0.25,0.1702,0.0063,-144.3,25.2,01/06/2022
913.13043,0.1746,0.1722,0.0038,0.0032,75.9,0.25,0.1737,0.0067,-148.8,26.1,01/06/2022
944.56993,0.1779,0.1755,0.0039,0.0032,78.4,0.26,0.177,0.0067,-153.1,27.0,01/06/2022
976.00943,0.1812,0.1789,0.0039,0.0033,81.2,0.26,0.1803,0.0068,-157.6,27.9,01/06/2022
1007.58743,0.1842,0.182,0.0041,0.0034,83.7,0.27,0.1833,0.0071,-161.6,28.8,01/06/2022
1039.02693,0.1876,0.1854,0.0044,0.0035,86.3,0.27,0.1868,0.0075,-166.2,29.7,01/06/2022
1070.46642,0.1907,0.1886,0.0043,0.0034,89.1,0.28,0.1899,0.0073,-170.5,30.7,01/06/2022
1102.04442,0.1943,0.1922,0.0046,0.0037,91.6,0.28,0.1935,0.0079,-175.1,31.6,01/06/2022
1133.48392,0.1977,0.1953,0.0047,0.0038,94.2,0.29,0.1968,0.008,-179.3,32.6,01/06/2022
1165.06192,0.2007,0.1985,0.0047,0.0039,97.0,0.29,0.1999,0.0082,-183.8,33.5,01/06/2022
1196.50141,0.2037,0.2014,0.0049,0.0039,99.4,0.3,0.2028,0.0084,-187.8,34.4,01/06/2022
1227.94091,0.2071,0.2047,0.0052,0.0041,102.1,0.3,0.2062,0.0088,-192.2,35.3,01/06/2022
