Samples;1024;
Tiempo (s);36010.0000;
Tiempo;PALPADOR 1;PALPADOR 3;PALPADOR 4;PALPADOR 5;FUERZA 300;POS  300;MEDIA AXIAL;MEDIA DIAM;GAUGE AXIAL1;GAGEDIAM 1;Dia;Hora;
s;mm;mm;mm;mm;kN;mm;mm;mm;?E;?E;
.00000;-0.0007;-0.0008;-0.0001;-0.0001;-0000.3;-000.00;-0.0004;-0.0003;-0000.2;-0001.1;02/06/2022;8:40:19;
35.04050;+0.0190;+0.0222;-0.0000;+0.0002;+0004.5;+000.03;+0.0209;-0.0000;-0006.3;-0000.9;02/06/2022;8:40:54;
70.21949;+0.0284;+0.0320;+0.0000;+0.0005;+0007.3;+000.04;+0.0305;+0.0004;-0009.7;-0001.1;02/06/2022;8:41:29;
105.39849;+0.0350;+0.0388;+0.0001;+0.0007;+0010.3;+000.05;+0.0372;+0.0006;-0012.3;-0001.3;02/06/2022;8:42:04;
140.57749;+0.0404;+0.0445;-0.0000;+0.0007;+0013.2;+000.06;+0.0427;+0.0005;-0014.9;-0001.4;02/06/2022;8:42:39;
175.75649;+0.0457;+0.0501;+0.0002;+0.0009;+0016.2;+000.06;+0.0482;+0.0010;-0017.5;-0001.5;02/06/2022;8:43:15;
210.93548;+0.0508;+0.0556;+0.0002;+0.0011;+0019.2;+000.07;+0.0535;+0.0012;-0020.5;-0001.3;02/06/2022;8:43:50;
246.11448;+0.0558;+0.0610;+0.0003;+0.0011;+0022.0;+000.08;+0.0587;+0.0012;-0023.8;-0001.1;02/06/2022;8:44:25;
281.29348;+0.0607;+0.0662;+0.0004;+0.0013;+0024.9;+000.08;+0.0638;+0.0016;-0026.9;-0000.9;02/06/2022;8:45:00;
316.47248;+0.0651;+0.0710;+0.0004;+0.0012;+0027.9;+000.09;+0.0683;+0.0015;-0030.0;-0000.5;02/06/2022;8:45:35;
351.65147;+0.0696;+0.0757;+0.0006;+0.0015;+0030.8;+000.10;+0.0729;+0.0019;-0032.9;-0000.2;02/06/2022;8:46:10;
386.69197;+0.0735;+0.0801;+0.0007;+0.0016;+0033.7;+000.10;+0.0771;+0.0021;-0036.0;+0000.1;02/06/2022;8:46:46;
421.87097;+0.0783;+0.0851;+0.0008;+0.0017;+0036.7;+000.11;+0.0820;+0.0022;-0039.3;+0000.5;02/06/2022;8:47:21;
457.04997;+0.0827;+0.0894;+0.0008;+0.0017;+0039.7;+000.12;+0.0864;+0.0022;-0042.5;+0000.9;02/06/2022;8:47:56;
492.22896;+0.0870;+0.0938;+0.0009;+0.0019;+0042.5;+000.12;+0.0907;+0.0026;-0045.5;+0001.4;02/06/2022;8:48:31;
527.40796;+0.0909;+0.0977;+0.0009;+0.0019;+0045.5;+000.13;+0.0946;+0.0026;-0048.2;+0002.1;02/06/2022;8:49:06;
562.58696;+0.0949;+0.1020;+0.0010;+0.0021;+0048.4;+000.13;+0.0987;+0.0030;-0051.2;+0002.5;02/06/2022;8:49:41;
597.76596;+0.0989;+0.1061;+0.0012;+0.0022;+0051.4;+000.14;+0.1028;+0.0031;-0054.2;+0003.0;02/06/2022;8:50:17;
632.94495;+0.1031;+0.1103;+0.0015;+0.0023;+0054.4;+000.14;+0.1070;+0.0035;-0057.4;+0003.6;02/06/2022;8:50:52;
668.12395;+0.1070;+0.1143;+0.0014;+0.0025;+0057.3;+000.15;+0.1110;+0.0036;-0060.3;+0004.1;02/06/2022;8:51:27;
703.30295;+0.1106;+0.1180;+0.0016;+0.0025;+0060.1;+000.15;+0.1146;+0.0038;-0063.0;+0004.5;02/06/2022;8:52:02;
738.48195;+0.1141;+0.1217;+0.0017;+0.0024;+0063.1;+000.16;+0.1182;+0.0038;-0065.7;+0005.0;02/06/2022;8:52:37;
773.52244;+0.1180;+0.1256;+0.0017;+0.0026;+0066.0;+000.16;+0.1221;+0.0040;-0068.6;+0005.6;02/06/2022;8:53:12;
808.70144;+0.1217;+0.1294;+0.0019;+0.0026;+0068.9;+000.17;+0.1259;+0.0042;-0071.5;+0006.1;02/06/2022;8:53:48;
843.88044;+0.1256;+0.1332;+0.0020;+0.0028;+0071.8;+000.17;+0.1297;+0.0045;-0074.3;+0006.7;02/06/2022;8:54:23;
879.05944;+0.1292;+0.1370;+0.0021;+0.0028;+0074.8;+000.18;+0.1334;+0.0046;-0077.1;+0007.2;02/06/2022;8:54:58;
914.23843;+0.1329;+0.1406;+0.0023;+0.0029;+0077.7;+000.18;+0.1370;+0.0049;-0079.6;+0007.8;02/06/2022;8:55:33;
949.41743;+0.1363;+0.1441;+0.0023;+0.0030;+0080.6;+000.19;+0.1405;+0.0049;-0082.2;+0008.3;02/06/2022;8:56:08;
984.59643;+0.1400;+0.1478;+0.0025;+0.0031;+0083.6;+000.19;+0.1442;+0.0053;-0084.9;+0008.9;02/06/2022;8:56:43;
1019.77543;+0.1437;+0.1516;+0.0028;+0.0031;+0086.8;+000.20;+0.1479;+0.0055;-0087.7;+0009.5;02/06/2022;8:57:19;
1054.95442;+0.1475;+0.1552;+0.0028;+0.0033;+0089.4;+000.20;+0.1516;+0.0057;-0090.2;+0010.1;02/06/2022;8:57:54;
1090.13342;+0.1508;+0.1584;+0.0030;+0.0033;+0092.3;+000.21;+0.1549;+0.0059;-0092.5;+0010.6;02/06/2022;8:58:29;
1125.31242;+0.1542;+0.1617;+0.0030;+0.0033;+0095.4;+000.21;+0.1582;+0.0059;-0094.8;+0011.2;02/06/2022;8:59:04;
1160.35292;+0.1579;+0.1652;+0.0032;+0.0035;+0098.2;+000.22;+0.1618;+0.0062;-0097.3;+0011.8;02/06/2022;8:59:39;
1195.53191;+0.1617;+0.1690;+0.0033;+0.0036;+0101.2;+000.22;+0.1656;+0.0065;-0099.9;+0012.5;02/06/2022;9:00:14;
1230.71091;+0.1654;+0.1723;+0.0035;+0.0036;+0104.1;+000.23;+0.1691;+0.0066;-0102.4;+0013.0;02/06/2022;9:00:50;
1265.88991;+0.1688;+0.1756;+0.0036;+0.0035;+0107.1;+000.23;+0.1725;+0.0067;-0104.6;+0013.6;02/06/2022;9:01:25;
1301.06891;+0.1722;+0.1787;+0.0037;+0.0037;+0110.0;+000.24;+0.1758;+0.0069;-0106.8;+0014.2;02/06/2022;9:02:00;
1336.24790;+0.1759;+0.1824;+0.0039;+0.0038;+0112.7;+000.24;+0.1795;+0.0072;-0109.2;+0014.8;02/06/2022;9:02:35;
1371.42690;+0.1795;+0.1857;+0.0039;+0.0039;+0115.8;+000.25;+0.1829;+0.0073;-0111.6;+0015.4;02/06/2022;9:03:10;
1406.60590;+0.1831;+0.1890;+0.0041;+0.0040;+0118.8;+000.25;+0.1864;+0.0075;-0113.9;+0016.1;02/06/2022;9:03:45;
1441.78490;+0.1865;+0.1921;+0.0042;+0.0040;+0121.7;+000.26;+0.1896;+0.0077;-0116.1;+0016.7;02/06/2022;9:04:21;
1476.96389;+0.1898;+0.1952;+0.0044;+0.0040;+0124.6;+000.26;+0.1928;+0.0079;-0118.1;+0017.3;02/06/2022;9:04:56;
1512.00439;+0.1934;+0.1983;+0.0045;+0.0041;+0127.5;+000.26;+0.1961;+0.0081;-0120.2;+0017.9;02/06/2022;9:05:31;
1547.18339;+0.1970;+0.2016;+0.0047;+0.0042;+0130.4;+000.27;+0.1996;+0.0084;-0122.4;+0018.5;02/06/2022;9:06:06;
1582.36239;+0.2005;+0.2049;+0.0047;+0.0044;+0133.4;+000.27;+0.2030;+0.0086;-0124.6;+0019.1;02/06/2022;9:06:41;
1617.54138;+0.2037;+0.2080;+0.0049;+0.0045;+0136.3;+000.28;+0.2062;+0.0088;-0126.6;+0019.8;02/06/2022;9:07:16;
1652.72038;+0.2071;+0.2110;+0.0049;+0.0045;+0139.4;+000.28;+0.2094;+0.0088;-0128.5;+0020.4;02/06/2022;9:07:52;
1687.89938;+0.2104;+0.2140;+0.0053;+0.0045;+0142.2;+000.29;+0.2125;+0.0091;-0130.6;+0020.8;02/06/2022;9:08:27;
1723.07838;+0.2137;+0.2170;+0.0053;+0.0046;+0145.1;+000.29;+0.2157;+0.0093;-0132.5;+0021.6;02/06/2022;9:09:02;
1758.25737;+0.2174;+0.2202;+0.0055;+0.0047;+0148.1;+000.30;+0.2191;+0.0095;-0134.6;+0022.3;02/06/2022;9:09:37;
1793.43637;+0.2206;+0.2233;+0.0056;+0.0047;+0150.9;+000.30;+0.2223;+0.0096;-0136.4;+0022.9;02/06/2022;9:10:12;
1828.61537;+0.2236;+0.2262;+0.0058;+0.0048;+0154.0;+000.31;+0.2252;+0.0099;-0138.2;+0023.5;02/06/2022;9:10:47;
1863.79437;+0.2270;+0.2292;+0.0060;+0.0049;+0157.0;+000.31;+0.2284;+0.0102;-0140.1;+0024.1;02/06/2022;9:11:23;
1898.83486;+0.2302;+0.2321;+0.0060;+0.0050;+0159.8;+000.31;+0.2315;+0.0103;-0141.9;+0024.8;02/06/2022;9:11:58;
1934.01386;+0.2336;+0.2353;+0.0062;+0.0050;+0162.8;+000.32;+0.2347;+0.0105;-0143.9;+0025.3;02/06/2022;9:12:33;
1969.19286;+0.2370;+0.2382;+0.0064;+0.0051;+0165.6;+000.32;+0.2379;+0.0108;-0145.7;+0026.0;02/06/2022;9:13:08;
2004.37186;+0.2404;+0.2415;+0.0065;+0.0053;+0168.6;+000.33;+0.2413;+0.0110;-0147.7;+0026.6;02/06/2022;9:13:43;
2039.55085;+0.2436;+0.2440;+0.0066;+0.0052;+0171.3;+000.33;+0.2441;+0.0111;-0149.3;+0027.3;02/06/2022;9:14:18;
2074.72985;+0.2467;+0.2470;+0.0068;+0.0053;+0174.4;+000.34;+0.2472;+0.0113;-0151.1;+0027.9;02/06/2022;9:14:54;
2109.90885;+0.2504;+0.2502;+0.0069;+0.0054;+0177.4;+000.34;+0.2506;+0.0115;-0153.1;+0028.6;02/06/2022;9:15:29;
2145.08785;+0.2537;+0.2532;+0.0071;+0.0054;+0180.4;+000.35;+0.2537;+0.0118;-0155.0;+0029.3;02/06/2022;9:16:04;
2180.26684;+0.2569;+0.2562;+0.0073;+0.0055;+0183.2;+000.35;+0.2568;+0.0120;-0156.7;+0029.9;02/06/2022;9:16:39;
2215.44584;+0.2603;+0.2590;+0.0074;+0.0057;+0186.2;+000.35;+0.2600;+0.0123;-0158.3;+0030.4;02/06/2022;9:17:14;
2250.62484;+0.2636;+0.2619;+0.0077;+0.0058;+0189.1;+000.36;+0.2631;+0.0126;-0160.0;+0031.2;02/06/2022;9:17:49;
2285.66534;+0.2667;+0.2649;+0.0078;+0.0058;+0192.0;+000.36;+0.2661;+0.0127;-0161.8;+0031.9;02/06/2022;9:18:24;
2320.84433;+0.2703;+0.2679;+0.0078;+0.0059;+0194.9;+000.37;+0.2694;+0.0128;-0163.7;+0032.5;02/06/2022;9:19:00;
2356.02333;+0.2736;+0.2708;+0.0082;+0.0059;+0197.9;+000.37;+0.2725;+0.0132;-0165.3;+0033.1;02/06/2022;9:19:35;
2391.20233;+0.2767;+0.2736;+0.0082;+0.0060;+0200.8;+000.38;+0.2755;+0.0133;-0166.9;+0033.8;02/06/2022;9:20:10;
2426.38133;+0.2798;+0.2764;+0.0085;+0.0061;+0203.7;+000.38;+0.2784;+0.0137;-0168.4;+0034.4;02/06/2022;9:20:45;
2461.56032;+0.2831;+0.2793;+0.0085;+0.0062;+0206.8;+000.38;+0.2815;+0.0138;-0170.1;+0035.1;02/06/2022;9:21:20;
2496.73932;+0.2864;+0.2822;+0.0088;+0.0062;+0209.6;+000.39;+0.2847;+0.0140;-0171.9;+0035.7;02/06/2022;9:21:56;
2531.91832;+0.2898;+0.2851;+0.0089;+0.0064;+0212.5;+000.39;+0.2878;+0.0143;-0173.4;+0036.5;02/06/2022;9:22:31;
2567.09732;+0.2929;+0.2877;+0.0090;+0.0063;+0215.4;+000.40;+0.2906;+0.0144;-0174.9;+0037.1;02/06/2022;9:23:06;
2602.27631;+0.2958;+0.2904;+0.0093;+0.0064;+0218.4;+000.40;+0.2934;+0.0147;-0176.4;+0037.7;02/06/2022;9:23:41;
